exemplar,ademen onder water,ademt,ademt door kieuwen,ademt door longen,ademt door middel van schubben,angstaanjagend,baart levende jongen,bakent zijn territorium af,bedreigde diersoort,behoort tot de natuur,bestaat al eeuwenlang,bevat omega 3,bevat proteïnen,bijt vaak,blinkt,bloedvatenstelsel is minder ontwikkeld dan dat van een zoogdier,bouwt nesten,brengt ziektes voort,bruin/zwart van kleur,dikke huid,eet,eet alles,eet bessen,eet graan,eet insecten,eet kleine dieren,eet planten,eet visvoer,eet wormen,eet zaad,er zijn verschillende soorten,fladdert,fluit,gaat dood,gebruikt zon om temperatuur op peil te houden,geleedpotig,gevaarlijk,graten,heeft 2 ogen,heeft acht poten,heeft armen,heeft centraal zenuwstelsel,heeft een bek,heeft een exoskelet,heeft een lange staart,heeft een lange tong,heeft een snavel,heeft een staart,heeft een vacht,heeft facetogen,heeft geen centraal zenuwstelsel,heeft geen poten,heeft geen vleugels,heeft hersenen,heeft huid,heeft kieuwen,heeft korte poten,heeft lidloze ogen,heeft longen,heeft luchtzakken,heeft mond,heeft ogen,heeft poten,heeft scherpe nagels,heeft schubben,heeft tanden,heeft tepels,heeft twee poten,heeft twee vleugels,heeft veren,heeft verticaal georiënteerde staart,heeft vier poten,heeft vinnen,heeft vleugels,heeft voelsprieten,houdt winterslaap,huppelt,in aquarium,in kooi,is aanhankelijk,is behaard,is bij geboorte nog niet zelfstandig,is bruin,is donker van kleur,is een delicatesse,is een dier,is een dolfijn,is een exotisch dier,is een haai,is een jager,is een kat,is een koe,is een levend wezen,is een mens,is een mier,is een mug,is een olifant,is een schildpad,is een sport,is een sterrebeeld,is een trekvogel,is een verzamelnaam,is een vleeseter,is een zoet- of zoutwatervis,is er in verschillende groottes,is er in verschillende vormen,is fascinerend,is fijn,is geen zoogdier,is gestroomlijnd,is gewerveld,is gezond,is glad,is glibberig,is goed voor de ogen,is griezelig,is groen,is irritant,is klein,is kleiner dan een meter,is kleurrijk,is lekker,is lelijk,is mooi,is niet behaard,is niet gevaarlijk,is nuttig,is ongewerveld,is rustig,is snel,is vastberaden,is vies,is warmbloedig,is zacht,is zeer vroeg wakker,kan bijten,kan gevaarlijk zijn,kan giftig zijn,kan je kopen,kan lopen,kan niet vliegen,kan staart verliezen,kan verschillende kleuren hebben,kan vliegen,kan zich voortplanten,kan ziek worden,kan zwemmen,komt af op licht,komt in grote aantallen voor,komt overal ter wereld voor,komt voor in de tuin,koudbloedig,kraait 's morgens,kraaloogjes,kruipt,lederachtige huid,leeft bij water,leeft in Afrika,leeft in de zee,leeft in de zoo,leeft in een moeras,leeft in groep,leeft in het wild,leeft in kolonies,leeft in warme landen,leeft in water,leeft in woestijn,leeft in zoet water,leeft niet lang,leeft niet op het land,leeft op het land,leeft op het land en in het water,legt eieren,legt geen eieren,lijkt niet op mens,maakt geluid,maakt heel vervelend geluid,maakt lawaai,maakt metamorfose door,niet erg geliefd bij de mens,niet lekker,ongedierte,parasiet,ruikt niet lekker,ruwe huid,soort kikker,soort slang,soort van krokodil,soort walvis,staat symbool voor vrijheid,stamt af van de dinosauriërs,stamt af van de reptielen,steekt,stinkt soms,trouw,tsjilpt,uitwerpselen vind je op straat,vind je  in een vispannetje,vind je in bomen,vind je vaker in de zomer,vliegt of kruipt,vogel,wordt  gevangen met netten,wordt doodgeslagen door mensen,wordt gegeten door insecteneter,wordt gegeten door planten,wordt gegeten door spinnen,wordt gegeten door vogels,wordt gegeten met witte wijn,wordt gevangen met aas,wordt gevangen met een hengel,wordt opgegeten door andere dieren,wordt soms als huisdier gehouden,wordt soms door mensen gegeten,wordt vaak de prooi van een kat,wordt verdelgd,zes poten,zilver,zingt,zoemt,zoogdier,zoogt de jongen,zorgt voor bestuiving planten,zowel mannetje als vrouwtje broeden,zwemt in scholen
kat,0,4,0,4,0,0,4,3,1,3,1,0,4,1,0,0,0,2,1,1,4,0,0,0,2,3,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,4,1,0,3,0,0,4,4,0,0,0,4,4,4,0,2,0,4,0,3,4,4,3,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,4,4,4,3,1,0,4,0,0,0,4,3,0,4,0,0,0,0,0,0,1,0,3,4,0,4,2,3,3,0,1,4,0,0,0,0,0,0,1,3,4,0,0,0,4,0,3,4,0,2,3,1,0,4,4,0,4,1,0,4,4,4,0,3,0,4,4,0,0,3,1,1,0,0,0,0,1,0,3,0,0,0,0,3,0,2,0,0,0,0,0,4,0,0,4,4,4,0,4,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,3,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,4,3,0,0,0,0,0,0,4,4,0,0,0
kever,0,4,0,0,0,0,0,0,0,3,1,0,4,0,3,4,1,0,1,0,4,0,0,0,1,1,3,0,0,0,3,0,0,4,3,3,0,0,3,1,0,1,0,4,0,0,0,0,0,2,3,0,1,3,0,0,3,4,0,0,2,4,4,0,0,2,0,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,1,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,0,4,2,1,0,4,2,0,0,0,0,0,1,0,2,4,4,1,0,1,1,4,4,4,4,1,1,0,1,0,0,0,1,0,0,0,4,2,0,1,2,4,3,0,1,4,2,4,0,0,0,3,0,0,3,0,0,1,3,3,0,2,0,0,0,1,0,4,0,4,0,4,0,0,0,2,1,3,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,3,3,0,1,2,2,2,2,3,0,0,0,3,0,1,0,3,4,0,0,0,0,0,0,0,0
kikker,2,4,1,4,0,0,0,0,0,4,1,0,4,0,3,3,1,0,0,0,4,0,0,0,4,3,1,0,4,0,4,0,0,4,3,0,0,0,4,0,0,4,1,0,0,3,0,1,0,0,0,0,3,4,4,1,3,2,4,1,2,4,4,0,1,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,1,1,4,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,3,1,0,4,2,3,1,4,3,4,0,3,4,0,0,3,1,4,4,2,0,1,0,4,2,4,0,0,1,0,2,0,0,0,0,1,3,2,3,4,0,2,0,4,4,3,0,4,0,2,3,0,0,1,0,4,2,0,3,2,2,3,0,3,3,0,1,0,0,4,4,4,0,4,4,2,4,1,2,3,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,1,4,0,0,1,0,0,0,0,3,2,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0
kip,0,4,0,4,0,0,0,0,0,3,1,1,4,0,0,1,3,1,0,0,4,1,1,4,2,1,3,0,3,2,3,0,0,4,0,0,0,0,4,0,0,4,4,0,0,0,4,2,0,0,0,0,0,4,4,0,3,1,4,2,2,4,4,2,0,0,0,4,4,4,1,0,0,4,0,0,0,0,1,0,0,3,3,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,0,4,3,1,1,4,2,4,1,0,0,0,0,0,1,3,4,1,4,1,0,4,4,4,0,1,0,0,1,4,2,1,0,0,0,4,4,1,0,3,3,4,4,0,0,4,1,4,0,0,0,0,1,0,2,0,0,0,4,1,2,2,0,0,0,0,1,4,0,4,0,4,4,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,4,0,0,0,0,0,1,1,0,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0
koe,0,4,0,4,0,0,4,0,0,3,1,0,4,0,0,0,0,1,1,1,4,0,0,1,1,0,4,0,0,0,3,0,0,4,0,0,0,0,4,0,0,4,1,0,3,1,0,4,4,0,0,0,4,4,4,0,0,0,4,0,3,4,4,1,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,1,3,3,2,1,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,2,1,0,3,3,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,3,1,1,0,3,4,0,3,0,0,1,4,3,0,4,1,0,4,4,4,0,3,0,4,4,0,0,4,1,0,0,0,0,0,1,0,3,0,0,0,4,1,2,2,0,0,0,0,0,4,0,0,4,4,4,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,0,0,0,0,0,0,4,4,0,0,0
koekoek,0,4,0,4,0,0,0,0,0,4,1,0,4,0,0,1,3,1,0,0,4,0,3,1,4,2,2,0,4,2,1,1,1,4,0,0,0,0,4,0,0,4,4,0,0,0,4,2,0,0,0,0,0,4,4,0,3,1,4,2,2,4,4,1,0,0,0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,4,2,2,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,1,0,3,0,3,0,4,3,4,0,0,0,0,0,0,1,4,4,0,0,0,2,4,4,3,0,1,2,0,0,4,1,0,0,0,0,1,3,0,0,2,4,4,4,0,0,2,0,3,0,0,1,0,1,0,2,0,0,0,2,3,0,2,0,0,0,0,1,3,0,4,0,4,4,0,4,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,2,0,1,1,0,4,3,4,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,1,1,0
konijn,0,4,0,4,0,0,4,2,0,4,1,0,4,0,0,0,2,2,1,1,4,0,0,0,0,0,4,0,0,0,3,0,0,4,0,0,0,0,4,0,0,4,1,0,0,0,0,4,4,0,0,0,4,4,4,0,3,0,4,0,3,4,4,1,0,4,4,0,0,0,0,4,0,0,0,0,2,0,1,2,3,4,3,1,3,4,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,2,1,0,3,1,3,4,0,0,4,0,0,0,0,0,0,0,4,4,0,2,0,4,0,4,4,0,1,2,0,0,4,4,0,4,1,0,4,4,4,0,3,0,4,4,0,0,4,1,3,0,0,1,1,1,0,2,0,0,0,2,3,1,2,0,0,0,0,0,4,0,0,4,4,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,3,4,3,0,0,0,0,0,0,4,4,0,0,0
kraai,0,4,0,4,0,0,0,0,0,4,1,0,4,0,0,1,4,1,0,0,4,0,3,1,4,2,2,0,4,2,1,1,1,4,0,0,0,0,4,0,0,4,4,0,0,0,4,2,0,0,0,0,0,4,4,0,3,1,4,2,2,4,4,2,0,0,0,4,4,4,0,0,0,4,0,0,1,0,0,0,0,4,1,4,0,4,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,1,0,3,1,2,0,4,3,4,0,0,0,0,1,0,1,3,4,0,0,1,2,4,2,4,0,0,2,2,1,4,1,0,1,0,0,0,3,0,0,0,4,4,4,0,0,4,0,4,0,0,2,0,1,0,1,0,0,0,2,3,0,2,0,0,0,0,1,3,0,4,0,4,4,2,3,0,1,3,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,1,0,3,2,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0
krekel,0,4,0,0,0,0,0,0,0,4,1,0,4,0,0,4,1,0,0,0,4,0,0,0,2,0,3,0,0,0,1,0,0,4,3,3,0,0,3,0,0,1,0,4,0,0,0,0,0,2,3,0,1,3,0,0,3,4,0,1,2,4,4,0,0,2,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,4,2,0,0,0,0,0,0,2,3,4,4,0,0,1,0,4,4,4,4,1,0,0,1,0,0,0,1,0,0,2,3,3,0,0,0,4,3,0,1,3,1,3,0,0,0,2,0,0,2,0,0,0,3,3,1,2,0,0,0,1,0,4,0,4,0,4,4,2,4,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,1,1,3,1,3,3,0,0,0,3,0,1,0,2,4,0,0,1,0,0,0,0,0
krokodil,0,4,0,4,0,4,0,1,3,4,3,0,4,3,1,3,1,0,0,2,4,0,0,0,2,4,1,0,1,0,4,0,0,4,4,0,4,0,4,0,0,4,2,0,3,0,0,4,0,0,0,0,4,4,1,1,4,2,4,0,2,4,4,2,3,4,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,3,2,4,0,2,0,4,0,0,4,0,0,0,0,0,0,0,0,2,4,0,3,1,4,0,4,2,4,0,0,0,0,4,3,0,0,1,0,0,1,1,4,1,4,0,0,1,2,2,0,0,0,4,4,0,1,4,4,0,0,0,4,4,4,0,4,0,0,3,0,0,3,3,4,4,1,4,2,1,3,1,4,4,0,2,0,0,3,4,4,0,4,1,0,1,0,4,3,0,0,0,4,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
lama,0,4,0,4,0,0,4,1,0,4,1,0,4,0,0,0,0,0,0,1,4,0,0,0,0,0,3,0,0,0,1,0,0,4,0,0,0,0,4,0,0,4,1,0,1,2,0,4,4,0,0,0,4,4,4,0,0,0,4,0,3,4,4,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,1,4,3,3,0,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,3,0,4,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,4,0,3,2,0,1,4,4,0,4,1,0,2,4,4,0,0,0,4,4,0,0,4,0,0,0,0,0,0,1,0,2,0,4,0,2,3,1,4,0,1,0,0,0,4,0,0,4,4,3,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,4,0,0,0
leeuw,0,4,0,4,0,4,4,4,3,4,1,0,4,4,0,0,0,0,0,2,4,0,0,0,0,3,0,0,0,0,2,0,0,4,0,0,4,0,4,0,0,4,1,0,4,1,0,4,4,0,0,0,4,4,4,0,0,0,4,0,3,4,4,4,0,4,4,0,0,0,0,4,0,0,0,0,0,0,1,1,4,4,3,0,0,4,0,3,0,4,3,0,4,0,0,0,0,0,0,3,0,1,4,0,3,0,4,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4,0,1,4,2,0,4,4,0,4,3,0,0,4,4,0,1,0,4,4,0,0,3,0,0,0,0,0,0,1,0,4,0,4,0,4,3,2,4,0,0,0,0,0,4,0,0,4,4,4,0,4,0,2,3,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,4,4,0,0,0
leguaan,0,4,0,4,0,2,0,0,1,4,1,0,4,0,0,3,1,0,0,2,4,0,0,0,3,2,2,0,2,0,2,0,0,4,4,0,0,0,4,0,0,4,1,0,2,1,0,4,0,0,0,0,4,4,2,0,4,2,4,0,2,4,4,1,3,4,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,2,2,0,4,0,3,0,3,0,0,4,0,0,0,0,0,0,0,0,1,2,0,3,1,4,1,4,1,4,0,0,0,0,2,2,0,3,3,1,0,1,0,4,3,4,0,3,2,1,2,0,0,0,1,1,0,3,3,4,1,2,0,4,4,1,0,2,0,0,2,0,0,3,3,1,3,0,4,0,0,3,0,4,0,1,0,0,0,4,0,4,0,4,2,0,1,0,3,3,0,0,0,3,0,0,1,0,0,1,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0
libel,0,4,0,0,0,1,0,0,0,4,1,0,3,0,1,4,1,0,0,0,4,0,0,0,1,0,3,0,0,0,1,0,0,4,3,2,1,0,3,0,0,1,0,4,0,0,0,0,0,3,3,0,0,3,0,0,2,4,0,0,2,4,4,0,0,2,0,0,1,0,0,0,0,4,3,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,2,1,0,4,2,4,0,4,3,0,0,0,0,0,0,2,2,4,4,4,0,0,1,4,2,4,4,1,2,0,1,0,0,0,0,1,0,0,2,0,0,2,4,4,3,0,1,3,1,2,0,0,0,1,0,4,2,0,0,1,2,3,1,2,0,0,0,2,0,4,0,4,0,4,1,0,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,4,4,0,2,1,2,0,3,1,0,0,0,3,0,0,0,2,4,0,0,3,0,0,2,0,0
lieveheersbeestje,0,4,0,0,0,0,0,0,0,4,1,0,3,0,2,4,1,0,0,0,4,0,0,0,1,0,3,0,0,0,2,0,0,4,3,2,0,0,3,0,0,1,0,4,0,0,0,0,0,2,3,0,0,3,0,0,3,4,0,0,2,4,4,0,0,2,0,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,1,0,2,1,3,1,4,2,0,0,0,0,0,0,0,0,4,4,4,0,0,3,4,4,4,4,3,1,0,0,0,0,0,0,0,0,0,3,0,0,1,4,4,3,0,0,4,1,3,0,0,0,2,0,0,3,0,0,0,1,3,1,2,0,0,0,1,0,4,0,4,0,4,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,4,0,0,1,1,1,3,2,0,0,0,3,0,0,0,1,4,0,0,0,0,0,1,0,0
luis,0,4,0,0,0,1,0,0,0,4,1,0,4,3,0,4,1,1,0,0,4,0,0,0,1,0,1,0,0,0,1,0,0,4,3,3,1,0,3,0,0,1,0,3,0,0,0,0,0,2,3,0,4,3,0,0,3,4,0,0,2,4,4,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,2,1,0,3,0,1,0,4,0,0,0,0,0,0,1,0,4,4,4,0,0,2,0,4,2,3,4,2,0,0,4,0,0,0,4,0,0,0,2,4,0,0,0,4,3,0,0,4,3,3,0,0,0,2,0,0,3,0,0,0,3,3,3,2,0,0,0,1,0,4,0,4,0,4,0,0,0,2,4,3,4,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,1,0,0,1,1,2,1,3,0,0,0,3,0,0,0,3,4,0,0,0,0,0,0,0,0
mees,0,4,0,4,0,0,0,0,0,4,1,0,4,0,0,1,4,1,0,0,4,0,4,1,4,2,3,0,4,3,2,3,2,4,0,0,0,0,4,0,0,4,4,1,0,0,4,2,0,0,0,0,0,4,4,0,3,1,4,3,2,4,4,1,0,0,0,4,4,4,0,0,0,4,0,0,1,0,0,0,0,4,1,1,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,0,4,1,1,1,4,3,4,0,0,0,0,0,0,1,4,4,2,0,0,2,4,4,4,0,1,2,0,0,4,2,0,0,0,0,1,2,0,0,2,4,4,4,0,0,4,0,3,0,0,1,0,1,1,1,0,0,0,2,3,0,1,0,0,0,0,1,3,0,4,0,4,4,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,2,0,2,1,0,3,2,4,4,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,3,0,0,0,1,1,0
meeuw,0,4,0,4,0,1,0,0,0,4,1,0,4,0,0,1,4,1,0,0,4,1,1,0,4,2,2,0,2,2,2,0,1,4,0,0,1,0,4,0,0,4,4,0,0,0,4,2,0,0,0,0,0,4,4,0,3,1,4,3,2,4,4,1,0,0,0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,3,1,0,4,1,2,1,4,4,4,0,0,0,0,0,0,1,2,4,0,0,1,1,4,2,4,0,0,2,2,1,4,2,0,0,1,0,0,3,0,0,2,4,4,4,1,0,4,1,0,0,0,0,0,1,2,1,1,0,0,3,3,2,2,0,0,0,0,1,3,2,4,0,4,4,3,4,0,0,3,0,0,1,0,0,0,0,0,1,0,3,0,3,0,0,3,0,0,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
meikever,0,4,0,0,0,0,0,0,0,4,1,0,4,0,2,4,1,0,0,0,3,0,0,0,1,0,3,0,0,0,1,0,0,4,3,3,0,0,3,1,0,1,0,4,0,0,0,0,0,2,3,0,1,3,0,0,3,4,0,0,2,4,4,0,0,2,0,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,3,2,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,4,1,0,0,0,0,0,1,0,2,4,4,0,0,1,0,4,4,3,4,2,2,0,1,0,0,0,0,0,0,1,3,0,0,1,4,4,3,0,1,2,1,3,0,0,0,3,0,0,2,0,0,0,3,3,0,2,0,0,0,1,0,4,0,4,0,4,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,4,3,0,1,2,2,1,2,3,0,0,0,3,0,1,0,2,4,0,0,0,0,0,0,0,0
merel,0,4,0,4,0,0,0,1,0,4,1,0,4,0,0,1,4,1,0,0,4,0,4,1,4,2,2,0,4,3,1,1,3,4,0,0,0,0,4,0,0,4,4,0,0,0,4,2,0,0,0,0,0,4,4,0,3,1,4,3,2,4,4,1,0,0,0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,4,1,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,2,0,2,1,4,3,4,0,0,0,0,0,0,1,4,4,0,0,0,2,4,4,4,0,1,2,0,0,4,2,0,0,0,0,0,2,0,0,0,4,4,4,0,0,3,0,4,0,0,1,0,1,0,1,0,0,0,2,3,0,2,0,0,0,0,1,3,0,4,0,4,4,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,2,0,1,2,0,3,2,4,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,4,0,0,0,1,1,0
mier,0,4,0,0,0,0,0,2,0,4,1,0,3,3,0,4,3,0,0,0,4,0,0,0,1,0,2,0,0,0,4,0,0,4,3,2,0,0,3,0,0,1,0,4,0,0,0,0,0,2,3,0,2,3,0,0,3,4,0,0,2,4,4,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,3,0,4,0,0,0,1,0,0,4,0,4,0,0,0,0,0,0,2,1,0,4,1,2,0,4,0,0,0,0,0,0,1,0,2,4,4,0,0,2,0,4,3,4,4,0,0,1,1,0,0,0,4,0,0,1,4,3,0,1,1,4,3,0,0,4,3,4,0,0,0,4,0,0,3,0,0,0,4,3,3,2,0,0,0,1,0,4,0,4,0,4,0,0,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,4,1,0,0,2,2,3,2,3,0,0,0,3,1,0,0,3,3,0,0,0,0,0,0,0,0
mot,0,4,0,0,0,1,0,0,0,4,1,0,3,1,0,4,1,0,0,0,4,0,0,0,1,0,1,0,0,0,1,1,0,4,3,2,0,0,3,0,0,1,0,4,0,0,0,0,0,2,3,0,0,3,0,0,3,4,0,0,2,4,4,0,0,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,2,0,4,2,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,0,4,2,1,0,4,2,0,0,0,0,0,1,0,4,4,4,1,0,2,0,4,4,4,4,3,2,0,3,0,0,0,1,0,0,0,2,0,0,0,4,4,3,0,2,2,1,3,0,0,0,0,0,0,2,0,0,0,1,3,0,2,0,0,0,2,0,4,0,4,0,4,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,4,0,1,3,4,1,4,3,0,0,0,3,0,0,0,3,4,0,0,0,0,0,2,0,0
mug,0,4,0,0,0,1,0,0,0,4,1,0,3,3,0,4,1,0,0,0,4,0,0,0,1,0,2,0,0,0,2,0,0,4,3,2,1,0,3,0,0,1,0,4,0,0,0,0,0,2,3,0,0,3,0,0,2,4,0,0,2,4,4,0,0,1,0,0,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,0,4,0,0,0,1,0,0,4,0,0,4,0,0,0,0,0,2,1,0,3,1,1,0,4,2,0,0,0,0,0,1,0,4,4,4,0,0,1,0,4,3,3,4,0,2,0,2,0,0,0,2,0,1,0,2,0,0,0,4,4,3,0,4,4,3,3,0,0,0,1,0,0,3,0,0,1,1,3,0,2,0,0,0,2,0,4,0,4,0,4,4,4,2,2,4,3,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,4,4,0,0,4,3,2,4,3,0,0,0,3,0,0,1,4,4,0,0,4,0,0,0,0,0
muis,0,4,0,4,0,2,4,2,0,4,1,0,4,0,0,0,1,2,1,1,4,0,1,0,2,0,3,0,1,1,3,0,0,4,0,0,0,0,4,0,0,4,1,0,3,0,0,4,3,0,0,0,4,4,4,0,3,0,4,0,3,4,4,1,0,4,4,0,0,0,0,4,0,0,0,1,0,0,0,1,3,4,1,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,0,4,0,2,1,0,0,4,0,0,0,0,0,0,2,4,4,0,0,0,1,0,3,4,0,0,2,0,2,4,4,0,4,1,0,4,4,4,0,2,0,4,4,0,0,4,2,2,0,0,0,1,1,0,2,0,0,0,2,3,2,2,0,0,0,0,0,4,0,0,4,4,3,0,2,0,2,3,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,4,0,1,0,3,4,1,4,1,0,0,0,0,4,4,0,0,0
mus,0,4,0,4,0,0,0,0,0,4,1,0,4,0,0,1,4,1,0,0,4,0,3,1,4,2,2,0,3,3,1,3,2,4,0,0,0,0,4,0,0,4,4,0,0,0,4,2,0,0,0,0,1,4,4,0,3,1,4,3,2,4,4,1,0,0,0,4,4,4,0,0,0,4,0,0,1,0,0,0,0,4,3,2,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,3,1,1,2,4,3,4,0,0,0,0,0,0,1,4,4,1,0,0,2,4,4,4,0,1,2,0,0,4,2,0,0,0,0,0,2,0,0,1,4,4,4,0,0,4,0,4,0,0,1,0,1,0,1,0,0,0,2,3,1,2,0,0,0,0,1,3,0,4,0,4,4,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,2,0,4,2,0,4,2,4,4,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,1,1,0
neushoorn,0,4,0,4,0,2,4,2,3,4,1,0,4,0,0,0,0,0,0,3,4,0,0,0,0,1,4,0,0,0,1,0,0,4,0,0,3,0,4,0,0,4,1,0,0,0,0,4,1,0,0,0,4,4,4,0,1,0,4,0,3,4,4,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,1,0,1,3,0,3,0,4,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,2,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0,1,0,2,1,4,0,0,2,4,0,0,4,4,0,0,0,4,4,0,0,1,0,0,0,0,0,0,4,0,4,0,4,0,2,3,1,4,0,0,0,0,0,4,0,0,4,4,3,0,2,0,1,3,0,0,1,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,4,4,0,0,0
