exemplar,afrika,als tussendoortje,apen eten het graag,beetje zurig,behaard,bestaat in verschillende kleuren,bestaat in verschillende soorten,bestaat uit beentjes,bestaat uit kleine bolletjes,bestaat uit partjes,bevat kokosmelk,bevat pitten,bevat veel calorieën,bevat veel vitaminen,bevordert de darmwerking,bij assepoester wordt er een koets van gemaakt,bijbels,bruin aan de buitenkant,de schil is bitter,de schil is niet eetbaar,"dik vanonder, smaller boven",dikke schil,donkerrood,donzige schil,dorstlessend,draai om je oren,een delicatesse,een gladde schil,eetbaar,er zijn er in verschillende maten,exotisch,familie van de appelsien,familie van de citroen,familie van de perzik,familie van mandarijn,fruit,gebruikt bij halloween,gebruikt in fruitpap,gebruikt in spreekwoord,gebruikt in yoghurt,gebruikt men in gerechten,geel,geel vanbinnen,gegeten bij kaasschotels,gerimpeld,gevaarlijk: kan op je hoofd vallen,gezond,groeit aan bomen,groeit aan een palmboom,groeit aan een plant,groeit aan een rank,groeit aan een struik,groeit in bos,groeit in de natuur,groeit in het voorjaar,groeit in het wild,groeit in onze streken,groeit in tropische streken,groeit in trossen,groeit in tuinen,groeit in warme landen,groeit laag bij de grond,groeit niet in belgie,groeit rond middellandse zee,groen,groene schil,groene steel,grote pit,hangt soms per twee,hard,harde pit,harde schil,harig,heeft bladeren,heeft bobbeltjes,heeft een donkere kleur,heeft een harde kern,heeft een klokhuis,heeft een kroontje,heeft een kruin van harde bladen,heeft een pit,heeft een schil,heeft een steeltje,heeft een stekelige schil,heeft groene bladeren,heeft roze kleur,heeft stekels,heeft vaak gele schil,heeft veel zon nodig om te groeien,heeft vruchtvlees,heeft zachte schil,het heeft geen uitgesproken geur,het is plat,het is voedsel,het vlees van de vrucht is tamelijk hard,het wordt niet veel gegeten in België,in gedroogde vorm: rozijnen en krenten,in schijfjes,in uitdrukkingen: zo plat als een,is bitter,is blauw,is bruin,is duur,is een bes,is een citrusvrucht,is een noot,is een steenvrucht,is een vrucht,is groen als het nog niet rijp is,is groen vanbinnen,is groot,is klein,is krom,is langwerpig,is mals,is moeilijk open te maken,is mooi,is ook een snoepje,is oranje vanbinnen,is ovaal,is peervormig,is rijp in de herfst,is rond,is sappig,is seizoensafhankelijk,is te koop op de markt,is verfrissend,is vers het best,is vezelig,is voedzaam,is wit,is zacht,is zuur,is zwaar,is zwart,je kan deze leeghalen en er een kaars in steken,je kan er sap van maken,je kan er soep van maken,je kan er thee van maken,kan gedroogd worden,kan geperst worden tot sap,kan giftig zijn,kan je eten met lepeltje,kan je milkshake van maken,kan uitgehold worden,kan warm of koud gegeten worden,klein en rond,kleurrijk,komen uit zuid-amerika,komt uit Spanje,komt uit china,komt uit nieuw-zeeland,koop je in de winkel,korrelig op tong,krijg je van sinterklaas,kunnen we heel het jaar door eten,kwetsbaar,lekker,lekker bij ijs,lekker in coca cola,lekker in yoghurt,lekker met suiker,lijkt op citroen,lijkt op een appelsien,lijkt op een mandarijn,lijkt op een perzik,lijkt op framboos,maakt vlekken op kleren,moet geschild worden,niet lekker,niet zo bekend hier,oranje,over de schil kan je uitglijden,paars vanbuiten,paarse kleur,plakkerig,puntjes,rijk aan vitamine C,rode kleur,rode kleur vanbuiten,rood-geel,roodblauw,roze van buiten,ruikt lekker,ruikt zoet,ruwe buitenkant,siroop,smaakt fris,soort groente,speciale smaak,stilt de honger,trekt insecten aan,typisch frankrijk,vaak gegeten bij ham,velletjes,vlezig,vogels eten het graag,vogelsoort,vooral te krijgen in winter,waterig,wit vlees,worden geplukt,wordt Bounty van gemaakt,wordt alcohol van gemaakt,wordt bruin als het rot,wordt confituur van gemaakt,wordt frisdrank van gemaakt,wordt geassocieerd met apen,wordt gebruikt als versiering,wordt gebruikt in cocktails,wordt gebruikt in een fruitsalade,wordt gebruikt in taart,wordt gebruikt om appelmoes te maken,wordt gebruikt om extra smaak te geven,wordt gebruikt op vis,wordt gedronken bij ontbijt,wordt gegeten door mens en dier,wordt gekweekt,wordt geïmporteerd,wordt ijs van gemaakt,wordt in België gekweekt,wordt na een tijdje rot,wordt ook in blik verkocht,wordt snel rot,wordt vaak bij konijn gegeten,wordt veel gebruikt bij desserts,wordt wijn van gemaakt,zaadjes,"zit vaak in shampoos, douchegel",zoet-zuur,zoete smaak,zomerfruit,zuiden
dadels,2,3,0,0,0,0,0,0,0,0,0,2,2,2,0,0,3,4,0,1,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,3,0,0,0,0,4,0,0,2,4,0,3,2,1,2,0,2,0,4,2,2,1,2,1,0,4,0,3,3,1,1,0,1,2,0,0,1,0,0,0,3,0,0,0,0,2,2,0,0,1,0,0,0,3,4,2,3,1,4,1,3,0,0,0,0,0,4,2,0,0,2,0,4,1,0,0,4,0,0,3,0,1,0,0,2,0,1,3,0,3,4,1,3,1,4,0,1,0,1,1,0,0,0,0,4,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,3,1,1,0,0,0,1,0,0,0,0,0,2,1,4,2,0,0,0,0,3,0,1,0,0,0,0,0,1,1,1,0,1,0,3,4,1,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,1,3,0,2,0,1,0,3,0,0,4,2,3
druif,2,4,0,2,0,4,4,0,1,0,0,4,3,3,2,0,2,0,0,0,0,0,1,0,1,0,0,2,4,2,0,0,0,0,0,4,0,1,0,0,4,0,0,4,0,0,4,0,0,3,4,2,0,4,1,0,4,0,4,3,3,1,0,2,2,2,1,0,2,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,1,0,0,0,4,4,2,3,0,4,1,0,4,0,0,0,4,0,3,1,0,0,0,4,3,2,0,4,0,0,3,0,2,1,0,2,0,1,4,3,4,4,2,4,0,3,2,3,0,0,0,0,4,0,0,4,2,0,0,0,0,1,3,3,0,0,0,0,4,0,0,4,4,3,2,0,1,1,0,0,0,0,0,2,0,0,1,0,0,2,2,2,0,1,0,1,0,2,0,1,1,0,0,2,0,1,3,3,4,0,2,3,0,0,0,1,0,3,0,4,3,0,2,0,3,0,4,2,0,1,0,0,3,4,3,0,4,4,0,3,1,2,4,1,0,1,3,3,2
framboos,0,4,0,3,3,0,0,0,4,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,2,0,4,1,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,4,0,0,4,0,4,3,4,3,3,4,0,0,4,1,2,0,0,0,0,0,0,2,0,0,0,1,0,4,1,0,0,0,0,0,0,1,0,1,2,0,0,0,4,1,2,0,4,0,0,0,0,0,0,0,0,4,4,0,0,0,4,1,0,0,4,0,0,4,0,3,1,0,0,0,0,2,4,4,4,3,4,0,3,0,2,1,0,0,0,2,0,4,1,1,0,1,3,0,2,2,3,0,0,0,0,4,1,0,2,4,4,3,0,4,0,0,0,0,0,3,4,0,0,0,0,0,1,0,2,2,3,4,2,0,1,2,3,2,0,2,3,0,1,2,2,0,0,0,2,2,0,0,1,0,4,0,2,2,4,0,0,3,0,4,4,0,0,0,0,3,4,0,4,4,4,0,3,0,3,0,3,0,3,2,4,0
kers,0,4,0,2,0,2,3,0,0,0,0,4,0,3,2,0,0,0,0,0,0,0,4,0,0,1,0,2,4,1,0,0,0,0,0,4,0,1,0,4,4,0,0,0,0,0,4,4,0,1,0,0,0,4,1,0,4,0,0,4,1,0,0,0,0,0,3,0,4,0,4,0,0,1,0,1,3,0,0,0,3,1,4,0,1,0,0,0,2,4,2,3,0,4,1,0,0,0,0,0,0,0,4,1,0,0,3,4,2,0,0,4,0,0,3,0,2,3,0,0,0,0,4,3,4,4,2,4,0,3,0,3,1,0,0,0,4,0,1,0,1,0,0,3,0,1,4,3,0,0,2,0,4,0,0,2,4,4,2,2,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,4,4,0,1,0,2,0,0,1,4,0,1,2,3,0,0,1,3,4,0,0,2,0,4,0,2,4,4,2,0,3,1,4,4,0,0,0,0,3,4,0,4,4,4,2,3,0,1,1,0,0,1,3,4,0
kiwi,0,4,0,3,4,2,2,0,0,0,0,1,1,4,3,0,0,3,1,3,0,0,0,3,1,0,0,0,4,1,3,0,0,0,0,4,0,2,0,3,4,0,0,2,0,0,4,2,0,1,0,1,0,4,1,1,0,2,0,0,4,0,3,1,4,1,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,4,0,1,1,0,1,0,4,4,4,2,0,4,1,0,0,2,0,0,0,1,1,0,0,0,0,4,1,4,0,1,0,0,3,0,3,0,0,4,0,0,1,4,4,4,4,4,1,3,0,2,2,0,0,0,2,0,0,0,1,0,4,2,2,1,0,4,0,0,1,4,4,0,0,4,2,4,1,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,3,1,3,0,0,0,0,0,2,1,3,0,4,0,2,3,1,0,0,0,3,0,3,0,2,0,3,0,0,3,1,0,0,2,1,4,3,0,0,0,0,3,4,4,1,2,4,0,3,0,3,0,4,0,2,2,2,3
kokosnoot,4,2,1,0,3,0,0,0,0,0,4,0,3,1,0,0,0,4,0,4,0,4,0,2,2,0,0,0,4,1,4,0,0,0,0,3,0,0,0,2,4,0,0,0,0,4,3,4,4,1,0,0,0,4,1,2,0,4,0,0,4,0,4,0,0,0,0,0,1,4,0,4,3,0,0,2,0,0,0,0,0,4,0,1,1,0,1,0,4,4,0,1,0,4,3,3,0,0,0,0,0,4,4,0,0,4,0,4,0,0,4,0,0,0,0,4,2,0,0,2,0,0,2,3,2,3,3,4,0,4,3,0,0,4,0,0,2,0,0,3,1,0,1,0,4,1,0,2,4,0,0,0,4,1,0,3,0,4,1,0,1,0,0,0,0,0,0,2,4,0,1,0,0,0,0,2,0,1,0,0,0,0,0,3,1,4,0,3,0,4,3,1,0,0,0,1,0,0,0,0,4,3,4,2,1,0,0,0,1,2,0,2,0,3,0,0,2,3,4,4,0,3,2,0,0,2,0,0,3,0,3,3,4
limoen,2,1,0,4,0,0,0,2,0,2,0,4,0,4,2,0,0,0,3,2,0,4,0,0,2,0,0,1,4,1,1,4,4,0,0,4,0,0,0,0,4,1,1,0,1,0,4,3,0,1,0,0,0,4,1,1,0,3,0,0,4,0,4,4,3,3,1,0,0,0,1,3,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,1,4,4,0,1,0,4,0,1,0,1,0,2,0,0,2,0,4,0,0,4,3,3,0,2,0,0,2,0,2,0,0,3,0,0,4,3,4,4,4,4,0,3,0,2,4,0,0,0,4,0,2,0,3,0,0,0,1,0,0,2,3,3,1,0,4,0,0,3,0,3,0,1,0,0,3,0,0,0,0,2,4,0,1,0,0,0,0,2,1,4,0,0,0,0,0,3,0,1,1,4,0,3,2,1,0,0,2,2,0,0,0,1,0,3,0,1,2,0,3,0,2,4,0,1,0,4,1,0,2,4,4,1,0,4,0,1,0,2,0,1,1,0,0,2,4
lychee,0,4,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,1,0,4,0,2,1,0,1,0,3,0,4,1,4,0,0,0,0,4,0,0,0,0,4,0,0,0,2,0,4,1,0,2,0,1,0,4,1,1,0,4,0,0,4,0,4,0,0,0,0,1,0,0,3,4,0,0,1,0,2,0,0,0,3,4,1,3,1,2,2,0,4,4,1,3,0,4,1,3,0,0,0,0,0,0,4,0,0,0,3,4,1,0,0,4,0,0,3,0,2,0,0,3,0,0,2,4,4,4,3,4,0,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,3,0,4,0,0,2,1,4,0,0,1,0,0,0,0,0,0,2,4,1,4,0,0,1,1,3,1,1,2,3,0,0,4,1,1,4,0,3,0,4,2,1,0,0,0,2,0,0,0,1,4,3,0,1,2,0,0,0,1,0,1,0,0,0,0,0,2,3,4,1,0,4,2,3,0,1,0,1,0,0,4,4,4
mango,2,4,0,2,0,1,0,0,0,0,0,3,1,3,1,0,0,0,2,2,1,1,0,0,1,0,2,4,4,1,4,0,0,0,0,4,0,1,0,1,4,1,4,0,0,1,4,3,0,1,0,0,0,4,1,1,0,4,0,0,4,0,4,0,2,2,1,4,0,2,3,0,0,0,0,0,4,0,0,0,4,4,1,0,1,0,0,2,4,4,3,2,0,4,3,3,0,1,0,0,0,0,4,0,0,0,3,4,3,1,2,0,0,0,2,0,2,0,3,4,0,0,2,3,3,4,3,4,2,4,0,2,0,1,0,0,2,0,0,1,1,0,0,2,0,0,0,3,4,0,0,0,4,0,0,2,2,4,1,0,3,0,0,0,0,0,0,2,4,1,4,2,0,0,0,4,0,1,0,1,3,0,0,2,2,0,0,2,0,1,4,2,0,0,0,4,0,0,0,0,0,3,0,0,3,1,0,0,1,1,3,1,0,0,0,0,2,4,4,3,0,4,0,3,0,1,0,0,0,1,3,4,4
meloen,2,4,0,0,0,3,3,0,0,0,0,4,1,3,1,0,0,0,1,4,0,4,0,0,1,0,0,3,4,3,1,0,0,0,0,4,0,1,0,0,4,1,2,1,1,0,4,2,0,2,0,0,0,4,1,1,0,3,0,0,3,2,3,4,4,4,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,4,0,0,1,1,0,2,4,4,0,2,0,4,0,0,0,1,0,0,0,0,2,0,0,0,0,4,2,3,3,0,0,0,2,0,2,0,1,1,0,0,4,4,4,4,3,4,0,3,1,2,0,3,0,0,1,0,0,0,0,0,3,1,3,0,0,3,2,2,0,0,4,0,0,3,0,4,2,0,1,1,0,0,0,0,0,2,4,0,0,2,0,0,0,4,0,1,2,0,0,0,0,2,2,1,0,3,0,1,4,2,1,4,0,4,0,0,0,4,1,3,0,2,3,0,0,0,1,1,4,0,0,0,0,0,2,4,3,3,1,4,0,2,0,2,0,1,0,0,3,4,4
